"Artist", "Flag"
"Sandhja", "fi.png"
"Argo", "gr.png"
"Lidia Isac","md.png"
"Freddie", "hu.png"
"Nina Kraljic", "hr.png"
"Douwe Bob","nl.png"
"Iveta Mukuchyan", "am.png"
"Serhat","sm.png"
"Sergey Lazarev","ru.png"
"Gabriela Guncikova","cz.png"
"Minus-One", "cy.png"
"Zoe","au.png"
"Jüri Pootsmann", "ee.png"
"Samra","az.png"
"Highway J", "me.png"
"Greta Salome", "is.png"
"Dalal & Deen", "ba.png"
"Ira Losco", "mt.png"
"Justs Sirmais", "lv.png"
"Michal Szpak", "pl.png"
"Rykka", "ch.png"
"Hovi Star", "il.png"
"Ivan", "by.png"
"ZAA Sanja Vučić", "rs.png"
"Nicky Byrne", "ie.png"
"Kaliopi", "mk.png"
"Donny Montell", "lt.png"
"Dami Im", "au.png"
"ManuElla","si.png"
"Ovidiu Anton", "ro.png"
"Poli Genova","bg.png"
"Lighthouse X","dk.png"
"Jamala","ua.png"
"Agnete","no.png"
"Nika Kocharov And Young Georgian Lolitaz","ge.png"
"Eneda Tarifa", "al.png"
"Laura Tesoro", "be.png"
"Jamie-Lee", "de.png"
"Amir", "fr.png"
"Francesca Michielin", "it.png"
"Barei", "es.png"
"Joe and Jake", "gb.png"
"Frans", "se.png"
